Repository,Title,Call No.,Language(s),Origin,Date,CompuDate,Place,Illustrated,Illuminated,Subject,Genre,Front Cover,Navigation,Data,Record,Summary
University of Pennsylvania Rare Book & Manuscript Library,Recipe book,LJS 165,None noted,"Written in England, ca. 1690 (f. 80v) to 1802 (f. 76v); the dates 1709 (f. 39r) and 1722 (f. 74v) also appear in the manuscript.",ca. 1690-1802,1690-1802,England,No,No,"Cooking, English;Medicine;Trials (Forgery);","Codices;Recipes;Legal documents;Manuscripts, English;Manuscripts, English;Manuscripts, English;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs165/data/web/0098_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs165.html,http://openn.library.upenn.edu/Data/0001/ljs165/data/,http://hdl.library.upenn.edu/1017/d/medren/5405356,"Collection of culinary recipes, such as to pickle or preserve various kinds of fruits and vegetables, to prepare meat and fish, and to make wines and desserts; medicinal recipes, for ailments such as stones, colic, consumption, toothache, thrush, and worms; and household preparations, as for killing lice and moths and making substances such as ink and glue. The latest entry is a copy of an 1802 court proceeding at the Old Bailey against 2 men, Levy Cohen and Ephraim Jacobs, charged with forging notes from the Bank of England, which concludes with a verdict of not guilty (f. 76v-79r). The first leaf has medical notes of an astrological nature (f. 1v). Many edges repaired.""           "
University of Pennsylvania Rare Book & Manuscript Library,Alan G. Thomas correspondence and ephemera,LJS 166,None noted,None noted,None noted,,None noted,No,No,Booksellers and bookselling;,"Obituaries;Photographs;Programs;Manuscripts, English;Manuscripts, Digital;",http://openn.library.upenn.edu/Data/0001/ljs166/data/web/0119_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs166.html,http://openn.library.upenn.edu/Data/0001/ljs166/data/,http://hdl.library.upenn.edu/1017/d/medren/5834621,"Small collection, arranged chronologically, of friendly professional correspondence between London bookseller Alan G. Thomas and his colleagues, with A. N. L. Munby and Lionel and Philip Robinson being the most frequent correspondents and the sales by the Robinson brothers of the residue of the library of Sir Thomas Phillipps the most frequent subject. Ephemera accompanying the correspondence includes the invitation and copies of the program for the dinner held by the Robinson brothers in honor of the centenary of the death of Phillipps; a photograph of the sculpture in Corfu of collector Frederick North, Earl of Guilford; newspaper clippings of the obituaries for Munby and Lionel Robinson; and the program of service for the funeral of Lionel Robinson.""           "
University of Pennsylvania Rare Book & Manuscript Library,"Address presented to the Hon. Albert D. Shaw, United States Consul, Manchester, from residents in Sale, Ashton-on-Mersey, and District :",LJS 167,None noted,None noted,None noted,,None noted,No,Yes,"United States.;","Illuminated manuscripts;Orations;Manuscripts, English;Manuscripts, Digital;",http://openn.library.upenn.edu/Data/0001/ljs167/data/web/0199_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs167.html,http://openn.library.upenn.edu/Data/0001/ljs167/data/,http://hdl.library.upenn.edu/1017/d/medren/5004852,"Bound presentation manuscript honoring Albert Shaw, U.S. Consul at Manchester, on his departure, signed by 100 residents of the towns of Sale and Ashton-on-Mersey and the surrounding area, southwest of Manchester. The first two leaves are illuminated with floral designs in colors and gold, the second two leaves have simpler colored geometric borders, and the text blocks of the four leaves of signatures are framed in blue ink. Bound in chagrin with gilt title stamped on upper cover and silk doublures and endleaves. Dated 30 June 1885. Silk ribbon with metal pin and tassels commemorating the 34th annual G.A.R. Encampment in Chicago, Aug. 27-Sept. 1, 1900, printed with the portrait of Shaw as commander-in-chief, laid inside upper cover.""           "
University of Pennsylvania Rare Book & Manuscript Library,Theseus Christianus peregrinatur cum Phirithoo per aliquot Europae regiones,LJS 168,Latin,"Possibly written in Italy, ca. 1694 (latest events described, f. 1v).",1687-1694,1687-1694,Switzerland,No,No,,"Codices;Dialogues;Manuscripts, Latin;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs168/data/web/0103_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs168.html,http://openn.library.upenn.edu/Data/0001/ljs168/data/,http://hdl.library.upenn.edu/1017/d/medren/5818554,"Description of 2 trips, presented in dialogue form between a pair of travelers designated Theseus and Phirithous, with the beginning of a third trip, although 4 are promised in the title (quatuor tramites, f. 1r). In the first trip, they set out from Switzerland and travel to Freiburg in the Breisgau (Brigovia) region of Germany by way of Hüningen; in the second, they leave Switzerland again to travel in the Swabia (Suevia) region of southern Germany; the third trip is described as a trip to Austria, although it starts with a return to Suevia. The travelers discuss cities, monasteries (Benedictine, Cistercian, and Carthusian), and local history.""           "
University of Pennsylvania Rare Book & Manuscript Library,"Speculum historiale, Books 25-28",LJS 16,Latin,"Written in France, probably Paris, ca. 1400.",ca. 1400,1400,Paris,No,Yes,World history;Encyclopedias and dictionaries;,"Chronicles;Encyclopedias;Manuscripts, Latin;Manuscripts, Latin;Manuscripts, Medieval;",http://openn.library.upenn.edu/Data/0001/ljs16/data/web/0284_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs16.html,http://openn.library.upenn.edu/Data/0001/ljs16/data/,http://hdl.library.upenn.edu/1017/d/medren/4928264,"A volume, probably the third from a set of three, comprising Books 25 to 28 of the Speculum historiale of Vincent of Beauvais. The volume is incomplete, breaking off at the beginning of Chapter 80 of Book 28, although the table of contents for Book 28 lists 102 chapters (f. 148r-148v) and the Speculum historiale when complete runs to 32 books.""           "
University of Pennsylvania Rare Book & Manuscript Library,Lectures on chemistry,LJS 170,None noted,"Possible written in Scotland, between 1770 and 1786.",between 1770 and 1786?,1770-1786,Scotland,No,No,University of Edinburgh;Chemistry;Chemistry;,"Codices;Diagrams;Lecture notes;Manuscripts, English;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs170/data/web/0296_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs170.html,http://openn.library.upenn.edu/Data/0001/ljs170/data/,http://hdl.library.upenn.edu/1017/d/medren/5028342,"Fifth volume of a set of fair copies of lecture notes for Lectures 61-77, concerning air in alkaline substances, various categories of earths (such as clays and flints), and inflammable substances (including phosphorus, sulfur, oils, and bitumens). Lectures are written on recto sides only, with a few diagrams added on versos.""           "
University of Pennsylvania Rare Book & Manuscript Library,Physica ... etc.,LJS 171,Latin,"Possibly written in Italy, after 1696 (date of latest work referred to in text).",after 1696,1696,Italy,No,No,Cinchona bark;Fever;Medicine;Philosophy;,"Codices;Commentaries;Diagrams;Treatises;Manuscripts, Latin;Manuscripts, Latin;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs171/data/web/0110_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs171.html,http://openn.library.upenn.edu/Data/0001/ljs171/data/,http://hdl.library.upenn.edu/1017/d/medren/5803812,"Commentaries on Parts 2-4 (De principiis rerum materialium, De mundo adspectabili, De terra) of the Principia philosophiae of René Descartes, as well as a work by Descartes on meteors, all under the heading Physica, followed by medical treatises on Peruvian bark (used as a cure for fevers) and fevers more generally, and additional Cartesian writings considering motion, location, and infinity.""           "
University of Pennsylvania Rare Book & Manuscript Library,Tabulae directionum et profectionum,LJS 172,Latin,"Written in Austria or Hungary, circa 1476 (based on watermark).",circa 1476,1476,Austria ;Hungary,No,No,Astronomy;Astronomy;,"Codices;Tables (documents);Manuscripts, Latin;Manuscripts, Renaissance;",http://openn.library.upenn.edu/Data/0001/ljs172/data/web/0348_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs172.html,http://openn.library.upenn.edu/Data/0001/ljs172/data/,http://hdl.library.upenn.edu/1017/d/medren/5877833,"Astronomical tables of declinations and ascensions and a table of sines, copied not long after their completion by Regiomontanus in 1467.""           "
University of Pennsylvania Rare Book & Manuscript Library,Enchiridion mathematicum continens elementa matheseōs,LJS 173,Latin; Greek,"Written in Wittenberg (first work, added note at end, f. 82v; second work, colophon, f. 168r), in 1629 (first work, dated throughout) and 1632 (second work, colophon, f. 168r).","1629, 1632",1629- 1632,Wittenberg,No,No,Astrology;Astronomy;Mathematics;,"Codices;Diagrams;Tables (documents);Treatises;Manuscripts, Latin;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs173/data/web/0278_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs173.html,http://openn.library.upenn.edu/Data/0001/ljs173/data/,http://hdl.library.upenn.edu/1017/d/medren/5846966,"Mathematical text in 4 sections on general principles of mathematics, arithmetic, geometry, and astronomy, followed by an astrological text based on spherical, geocentric astronomy, with tables from the work of Copernicus and Brahe.""           "
University of Pennsylvania Rare Book & Manuscript Library,Tabule illustrissimi principis regis alfonsii ... etc.,LJS 174,Latin,"Written in Prague from 1401 to 1404 (f. 23r, 76v).",1401-1404,1401-1404,Prague,Yes,No,"Astronomy;Astronomy, Medieval;","Codices;Tables (documents);Manuscripts, Latin;Manuscripts, Medieval;Manuscripts, Renaissance;",http://openn.library.upenn.edu/Data/0001/ljs174/data/web/0331_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs174.html,http://openn.library.upenn.edu/Data/0001/ljs174/data/,http://hdl.library.upenn.edu/1017/d/medren/5029306,"A full set of Alphonsine Tables (including tables for mean motions, conjunctions of sun and moon, equation of time, spherical astronomy, longitudes and latitudes of cities, star tables, eclipse tables). The manuscript also includes works about the Alphonsine Tables, such as canons to the Alphonsine Tables by the 14th-century astronomers John of Saxony, Jean de Lignières (also known as Johannes de Lineriis) and Henricus Selder, and an unattributed explanation of corrections made to the tables for use in Prague, accompanied by a few paragraphs on weather prediction by the Baghdad-born Jewish astronomer and astrologer Māshāʼallāh, who died in the 9th century. 2 small pieces of paper containing contemporary fragments of similar text and tables laid in. 4 leaves cut out (2 after f. 12, 2 at end of manuscript); much of 1 leaf torn off (f. 84).""           "
University of Pennsylvania Rare Book & Manuscript Library,"Figure de sistemi del mondo d'Aristotile, Copernico, e Ticone",LJS 175,Italian;Latin,"Written in Italy, ca. 1680.",ca. 1680,1680,Italy,No,Yes,Astronomy;Cosmology;,"Codices;Diagrams;Pen-and-wash drawings;Manuscripts, Italian;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs175/data/web/0035_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs175.html,http://openn.library.upenn.edu/Data/0001/ljs175/data/,http://hdl.library.upenn.edu/1017/d/medren/5848812,"Diagrams representing the Ptolemaic (referred to as Aristotelian in the title) and Copernican theories of the universe, with a final diagram representing the theory of Tycho Brahe.""           "
University of Pennsylvania Rare Book & Manuscript Library,Traité de mecanique,LJS 176,French,"Written in France, ca. 1700.",ca. 1700,1700,France,No,No,Mechanics;,"Codices;Drawings;Technical drawings;Treatises;Manuscripts, French;Manuscripts, French;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs176/data/web/4001_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs176.html,http://openn.library.upenn.edu/Data/0001/ljs176/data/,http://hdl.library.upenn.edu/1017/d/medren/5819024,"Treatise with references throughout to the large group of fold-out technical drawings that follow the text. Most of the machines are simple machines, such as levers, inclined planes, pulleys, wheels, and screws, but the last part of the manuscript is devoted to fluid dynamics.""           "
University of Pennsylvania Rare Book & Manuscript Library,Paludi Pontine,LJS 177,Italian;Latin,"Written in Italy, mostly in Rome, between 1586 and 1760.",ca. 1586-1760,1586-1760,Italy,No,No,Rome (Italy).;Aqueducts;City planning;,"Codices;Accounts;Maps;Reports;Finding tabs;Hybrid books;Manuscripts, Italian;Manuscripts, Italian;Manuscripts, Italian;Manuscripts, Renaissance;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs177/data/web/0304_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs177.html,http://openn.library.upenn.edu/Data/0001/ljs177/data/,http://hdl.library.upenn.edu/1017/d/medren/5827978,"Large, mid-18th-century compilation of records on 2 subjects: first, manuscript and printed texts on the reclamation (bonificazione) of the Pontine Marshes (Paludi Pontine) and the cutting of the forests of Sermoneta and Cisterna di Latina, and second, mostly manuscript records of the Maestri delle Strade or Congregazione delle Strade, the municipal body in charge of the streets of Rome, and particularly of Pietro Millini, one of the Maestri delle Strade. The materials on the Pontine Marshes range from 16th-century manuscripts (f. 3r-19v), to 3 engraved maps from the late 17th and 18th centuries (f. 145r, 184r, 333r), to substantial printed texts from the 18th century. 2 texts printed ca. 1715, which present arguments about the cutting of the forests of Sermoneta and Cisterna di Latina, have parchment finding tabs (f. 146r, 307r) that correspond to a partial table of contents at the beginning of the volume (f. 1r-1v), which notes that the 2 items are related. The records of the Maestri delle Strade are a group of late 17th-century manuscripts in the middle of the volume (f. 185r-306v) including correspondence, reports of street inspections (many signed by the architects Pietro Andrea Bufalini and Tomasso Zanoli), and a single printed edict (f. 233r).""           "
University of Pennsylvania Rare Book & Manuscript Library,Report on efforts to repair the Acqua Felice,LJS 178,Italian,"Probably written in Rome, ca. 1683 (latest date in text, p. 524 and elsewhere).",ca. 1683,1683,Rome,No,No,Aqueducts;Water-supply;Technology;,"Codices;Reports;Manuscripts, Italian;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs178/data/web/0342_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs178.html,http://openn.library.upenn.edu/Data/0001/ljs178/data/,http://hdl.library.upenn.edu/1017/d/medren/5760415,"Report on attempts to address problems with water levels from the Acqua Felice, an aqueduct constructed in the late 16th century during the papacy of Sixtus V from springs at the Pantano di Griffi to the terminal fountain (mostra) at the Piazza della Terme. The report reviews earlier investigations in 1664 by architect and engineer Luigi Bernini, brother of the sculptor Gian Lorenzo Bernini, and discusses renewed efforts in 1683 by the architect Mattia de Rossi and Dutch engineer Cornelis Meijer. The report is a disbound gathering from a large volume.""           "
University of Pennsylvania Rare Book & Manuscript Library,Della natura delle cose libri VI,LJS 179,Italian,"Written in Italy, with an inscription dated 9 Jan. 1746 (f. 147r).",before 1746,1746,Italy,No,No,"Didactic poetry, Latin;Philosophy, Ancient;Italian poetry;Materialism;Epicureans (Greek philosophy);","Codices;Poems;Translations (documents);Manuscripts, Italian;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs179/data/web/0275_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs179.html,http://openn.library.upenn.edu/Data/0001/ljs179/data/,http://hdl.library.upenn.edu/1017/d/medren/5199129,"17th-century Italian translation of De rerum natura by Alessandro Marchetti, a generally anti-Aristotelian teacher of philosophy and mathematics at Pisa. Publication of this translation was forbidden in Italy, so it was still being copied by hand in the 18th century. The translation breaks off early in Book 4 (4.265, f. 146v, with a dangling catchword), followed by a final page of text from slightly later in Book 4 (4.384-394, f. 147v).""           "
University of Pennsylvania Rare Book & Manuscript Library,Letter concerning manufacture of platinum,LJS 180,In French,None noted,None noted,,None noted,No,No,Technology;Platinum;,"Manuscripts, French;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs180/data/web/0156_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs180.html,http://openn.library.upenn.edu/Data/0001/ljs180/data/,http://hdl.library.upenn.edu/1017/d/medren/5783317,"Letter written in Metz, dated 28 April 1768, to the inspector of manufacture of arms in Maubeuge, concerning the production of platinum (platine); signed Boileau. Originally folded for mailing, with address and remnants of sealing wax on former exterior.""           "
University of Pennsylvania Rare Book & Manuscript Library,Draft letter to journal editors,LJS 180,In French,None noted,None noted,,None noted,No,No,Technology;Metallurgy;Thermometers;,"Manuscripts, French;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs180/data/web/0157_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs180.html,http://openn.library.upenn.edu/Data/0001/ljs180/data/,http://hdl.library.upenn.edu/1017/d/medren/5783318,"Draft letter concerning metallurgy and thermometers (thermomètres metalliques), with multiple deletions and additions, dated according to the Republican calendar (29 nivose, year uncertain), addressed to the editors of a journal with reference to No. 113 of the journal. Signature illegible.""           "
University of Pennsylvania Rare Book & Manuscript Library,Alexander Lamb petition,LJS 180,None noted,None noted,None noted,,None noted,No,No,Technology;Textile industry;Patents;,"Petitions;Manuscripts, English;Manuscripts, European;",http://openn.library.upenn.edu/Data/0001/ljs180/data/web/0158_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs180.html,http://openn.library.upenn.edu/Data/0001/ljs180/data/,http://hdl.library.upenn.edu/1017/d/medren/5783320,"Petition from Alexander Lamb, a banker of London, and William Suttill, a flax spinner of Middlesex, requesting a royal patent from George IV for the use in Ireland of their improvements in machinery for preparing, drawing, roving, and spinning flax, hemp, and waste silk. A note on the verso dated 23 September 1825 records transfer of the petition to the Lord Lieutenant of Ireland for his consideration.""           "
